01A,Afognak Lake Airport
CIK,Chalkyitsik Airport
CIL,Council Airport
CIN,Arthur N Neu
CIP,Chipata Airport
CIR,Cairo Regional
CIU,Chippewa County International
CIV,Chomley Airport
CIW,Canouan Airport
CIX,Capt. Jose A. Quinones Gonzales International
CIY,Comiso Airport
CJA,Gen FAP Armando Revoredo Iglesias
CJB,Coimbatore Airport
CJC,El Loa
CJI,Crafton Island Airport
CJJ,Cheongju International
CJL,Chitral Airport
CJR,Culpeper Regional
CJS,Abraham Gonzalez International
CJU,Jeju International
CJW,Clay Center Municipal
CKB,North Central West Virginia
CKD,Crooked Creek Airport
CKE,Pearce Field
CKG,Jiangbei
CKM,Fletcher Field
CKO,Cornelio Procopio Airport
CKS,Carajas Airport
CKU,Cordova Municipal
CKV,Outlaw Field
CKX,Chicken Airport
CKY,Conakry Airport
CLA,Comilla Airport
CLB,Castlebar Airport
CLC,Clear Lake Metroport
CLD,McClellan-Palomar
CLE,Cleveland-Hopkins International
CLF,Clear Mews
CLG,New Coalinga Municipal
CLH,Coolah Airport
CLI,Clintonville Municipal
CLJ,Cluj-Napoca Airport
CLK,Clinton Regional
CLL,Easterwood Field
CLM,William R. Fairchild International
CLN,Carolina Airport
CLO,Alfonso Bonilla Aragon International
CLP,Clarks Point Airport
